"VCGE-1","VCGE-2"
"Farmácia popular","Medicamentos e aparelhos,Saúde"
"Turismo rural","Comércio e Serviços,Turismo"
"Registro de obra audiovisual","Cultura"
"Manejo nas unidades de conservação","Meio ambiente,Preservação e Conservação Ambiental"
"Projeto de lei federal",""
"Planos de saúde","Saúde"
"Saúde do idoso","Saúde"
"Governo municipal","Administração"
"Consulta comercial","Serviços Urbanos,Urbanismo"
"Casamento",""
"Estrangeiro","Relações Internacionais"
"Controle social e prestação de contas","Fiscalização do Estado,Administração"
"Atestado de antecedentes",""
"Biotecnologia","Biodiversidade,Meio ambiente,Pesquisa e Desenvolvimento"
"Uso do solo","Biodiversidade,Meio ambiente"
"Resíduos domiciliares","Meio ambiente"
"Florestas","Meio ambiente"
"Gestão internacional das substâncias químicas - SAICM","Meio ambiente"
"Alienação de bens","Administração"
"Agricultura familiar","Biodiversidade,Meio ambiente,Agropecuária"
"Fundação de apoio - pós-graduação","Educação,Educação superior"
"Cultivo","Agropecuária"
"Biomassa","Meio ambiente"
"Curta metragem","Cultura"
"Doença animal","Agropecuária"
"Pneus","Meio ambiente"
"Aeronáutica","Defesa Nacional"
"Polícia militar","Segurança e Ordem Pública"
"Recursos hídricos na agropecuária","Meio ambiente,Água"
"Promoção comercial internacional","Comercio externo,Comércio e Serviços"
"Medicamentos similares","Medicamentos e aparelhos,Saúde"
"Zona econômica exclusiva","Biodiversidade,Meio ambiente"
"Itinerários transportes coletivos","Serviços Urbanos,Urbanismo"
"Manejo da agrobiodiversidade","Biodiversidade,Meio ambiente"
"Curso seqüencial","Educação,Educação superior"
"Gestão dos recursos hídricos","Meio ambiente,Água"
"Indústria eletro-eletrônica","Propriedade Industrial,Indústria"
"Indústria têxteis","Propriedade Industrial,Indústria"
"Áreas prioritárias para a biodiversidade","Biodiversidade,Preservação e Conservação Ambiental,Meio ambiente"
"Inventário floresta nacional","Meio ambiente"
"Gestão de resíduos sólidos","Meio ambiente,Preservação e Conservação Ambiental"
"Indicadores educacionais","Educação"
"Ordenamento territorial","Meio ambiente"
"Licenciatura plena","Educação,Educação superior"
"Embalagem de alimentos","Agropecuária"
"Armazenamento de alimento","Abastecimento,Agropecuária"
"Análise de risco - área animal","Agropecuária"
"Média metragem","Cultura"
"Organização territorial","Administração"
"Unidades de manejo em florestas públicas","Meio ambiente"
"Exploração de serviços florestais","Meio ambiente"
"Comercialização agrícola","Abastecimento,Agropecuária"
"Execução penal",""
"Previdência básica","Previdência Social,Previdência Básica"
"Hospital","Saúde,Assistência Hospitalar e Ambulatorial"
"Energia elétrica","Energia elétrica,Energia"
"Conhecimento tradicional associado ao patrimônio genético (CTA)","Biodiversidade,Meio ambiente"
"Medicamentos proibidos","Medicamentos e aparelhos,Saúde"
"Serviços de coleta, unitização, desunitização, movimentação, armazenagem e entrega de cargas ao dest","Transportes"
"Comitês de bacias hidrográficas","Meio ambiente,Água"
"Promoção industrial","Indústria"
"Planejamento e administração em saúde pública","Saúde"
"Sucessão",""
"Coleções de plantas vivas","Biodiversidade,Meio ambiente"
"Feiras de negócios","Meio ambiente"
"Transporte aquaviário de cargas","Transportes,Transporte Hidroviário"
"Indústria cultural","Propriedade Industrial,Indústria"
"Conselho nacional de educação","Educação"
"Publicações oficiais","Comunicações"
"Minissérie","Cultura"
"Programas de transferência de renda","Proteção Social"
"Produção mais limpa (P+L)","Biodiversidade,Meio ambiente"
"Condicionantes dos licenciamentos","Meio ambiente"
"Sistemas georreferenciados","Meio ambiente"
"Multimídia","Pesquisa e Desenvolvimento"
"Avaliação de estoque pesqueiro","Biodiversidade,Meio ambiente"
"Regularização fundiária","Meio ambiente,Preservação e Conservação Ambiental"
"Organização religiosa",""
"Passaporte",""
"Ocupação e uso do solo","Urbanismo"
"Finanças pessoais","Economia e Finanças"
"Política e gestão industrial","Indústria"
"Especificação do projeto de publicidade","Urbanismo"
"Recursos energéticos","Energia"
"Saúde bucal","Saúde"
"Bacharelado","Educação,Educação superior"
"Programas recreacionais em unidades de conservação","Meio ambiente,Preservação e Conservação Ambiental"
"Política de preço","Agropecuária"
"Manejo da biodiversidade","Biodiversidade,Meio ambiente"
"Teatro","Cultura"
"Concubinato",""
"Implementação da agenda 21","Meio ambiente"
"Mitigação dos efeitos das secas","Meio ambiente"
"Educação infantil","Educação,Educação básica"
"Casa própria","Habitação"
"Concessão de transporte rodoviário","Transportes,Transporte Rodoviário"
"Órgãos de execução penal",""
"Carteira de identidade",""
"Regiões e estados","Comércio e Serviços,Turismo"
"Credenciamento de cursos","Educação,Educação superior"
"Museu do meio ambiente","Meio ambiente"
"Trabalho estrangeiro","Relações Internacionais,Trabalho"
"Indústria naval","Propriedade Industrial,Indústria"
"Gestão do trabalho em saúde","Saúde"
"Poluição sonora","Meio ambiente"
"Nacionalização/privatização","Economia e Finanças"
"Pesca industrial","Agropecuária"
"Códigos voluntários","Meio ambiente"
"Horário ônibus","Serviços Urbanos,Urbanismo"
"Florestas públicas","Meio ambiente"
"Identificação pessoal",""
"AIDS","Saúde"
"Transporte aéreo","Transportes,Transporte Aéreo"
"Prevenção e atendimento a situação de emergência ambiental","Meio ambiente"
"Coleta e transporte de recursos genéticos naturais","Biodiversidade,Meio ambiente"
"Governo e Política","Administração"
"Comissão nacional de segurança química - CONASQ","Meio ambiente"
"Pesca predatória","Biodiversidade,Meio ambiente"
"Fórum intergovernamental","Meio ambiente"
"Projeto de lei municipal",""
"Praga de animal","Agropecuária"
"Tutela e curatela",""
"Sistema de saúde","Saúde"
"Realização orçamentária e financeira","Administração,Planejamento"
"Turismo cultural","Comércio e Serviços,Turismo"
"Agenda 21","Meio ambiente"
"Compensação ambiental","Meio ambiente"
"Auxilio doença","Previdência Social"
